operation,count
sort,1402
join,1072
format,932
head,726
parse,698
select,661
diff,657
filter,569
count,388
unique,370
convert,347
split,267
validate,246
encode,170
extract,164
pretty,134
decode,122
stats,106
regex,96
sum,64
tail,38
grep,28
dedupe,7
